longitude,latitude,housing_median_age,total_rooms,total_bedrooms,median_house_value
-122.68,38.98,27,2300,508,109700
-122.65,38.97,32,1856,472,60000
-122.63,38.96,17,1708,459,64000
-122.62,38.95,19,2230,538,58800
-122.62,38.94,14,1731,400,57500
-122.61,38.93,14,231,36,71300
-122.6,38.93,16,1657,390,62000
-122.62,38.96,16,1914,446,69000
-122.63,38.96,20,2507,577,60200
-122.65,38.96,27,2143,580,63200
-122.64,38.96,29,883,187,58200
-122.64,38.95,28,1503,370,68900
-122.63,38.95,11,686,127,77300
-122.63,38.94,25,661,144,49000
-122.63,38.94,18,3844,969,81800
-122.62,38.94,13,524,129,55000
-122.7,38.97,17,2554,540,114200
-122.75,39.01,17,4162,967,200500
-122.79,39.02,23,642,203,96900
-122.78,38.97,11,5175,971,97300
-122.69,38.94,9,1245,234,93400
-122.71,38.91,20,41,18,55000
-122.86,39.05,20,1592,327,136800
-122.85,39,20,1580,318,88500
-122.83,38.99,15,289,49,113900
-122.83,38.98,17,1383,347,77800
-122.84,38.98,21,939,176,75000
-122.92,38.97,20,2067,384,134200
-122.89,38.93,20,1214,247,105700
-122.83,38.96,15,1318,296,93800
-122.77,38.92,26,712,140,119400
-122.83,38.89,11,640,134,100000
-122.72,38.88,29,2781,,96600
-122.74,38.83,12,4515,909,90800
-122.48,38.9,10,304,63,112500
-122.59,38.92,15,1410,329,75000
-122.6,38.9,23,292,56,91700
-122.62,38.92,13,520,115,84700
-122.65,38.92,30,70,38,112500
-122.64,38.87,16,1177,240,73500
-122.5,38.82,12,2394,443,109200
-122.51,38.76,9,2589,482,132600
-122.55,38.81,7,3639,637,132100
-122.59,38.78,15,764,145,103100
-122.66,38.81,22,852,176,83300
-122.68,38.76,29,994,226,67900
-122.62,38.73,21,1425,323,85300
-122.64,38.71,20,531,126,89600
-122.52,38.7,26,102,17,87500
-121.11,41.07,26,1707,308,48100
-120.96,41.12,29,779,136,59200
-121.07,40.85,17,976,202,80800
-120.38,40.98,27,777,185,40000
-120.35,40.63,33,240,49,200000
-120.77,40.65,11,2635,667,118300
-121.02,40.51,17,890,167,78300
-120.96,40.28,19,683,139,64100
-121.03,40.35,52,5486,1044,49500
-120.67,40.5,15,5343,,85900
-120.57,40.43,15,2045,461,71500
-120.66,40.42,35,1450,325,66400
-120.65,40.42,39,3240,652,64300
-120.66,40.41,52,2081,478,70200
-120.64,40.41,50,1741,424,59300
-120.71,40.36,19,4462,828,105700
-120.58,40.37,16,3412,667,61800
-120.42,40.38,26,1652,313,85600
-120.36,40.45,19,689,143,70000
-120.51,40.41,36,36,8,67500
-120.54,40.29,17,3391,623,91000
-120.49,40.31,16,1821,360,85100
-120.37,40.17,21,789,141,73500
-120.2,40.26,26,2399,518,47600
-120.09,39.92,19,2335,518,60700
-118.27,34.27,27,5205,859,276100
-118.28,34.26,32,1079,207,213000
-118.29,34.26,33,3177,713,191100
-118.3,34.26,37,2824,633,184500
-118.3,34.26,42,2186,423,191900
-118.28,34.25,35,2045,450,197600
-118.28,34.25,29,2559,,162100
-118.29,34.25,19,1988,594,175000
-118.29,34.25,8,5568,1514,161500
-118.27,34.25,37,2489,454,257600
-118.27,34.25,35,2091,360,261900
-118.27,34.24,30,2180,369,277600
-118.27,34.25,35,779,143,230100
-118.27,34.25,39,699,150,195800
-118.28,34.24,32,2542,526,263600
-118.28,34.24,29,3390,580,316900
-118.3,34.25,36,1300,304,176700
-118.33,34.24,31,6434,1188,293300
-118.35,34.22,19,9259,1653,228700
-118.35,34.22,30,1260,222,258300
-118.35,34.21,39,1470,312,181400
-118.35,34.21,42,1073,220,172600
-118.31,34.28,34,3258,610,219900
-118.31,34.27,35,1446,274,215600
-118.3,34.26,43,1510,310,176500
-118.3,34.26,40,1065,214,185900
-118.31,34.26,38,2264,460,189600
-118.31,34.26,41,1297,327,160300
-118.31,34.26,34,1797,363,187300
-118.32,34.26,32,3690,791,222700
-118.35,34.28,30,3214,513,248200
-118.33,34.27,29,3034,732,230200
-118.35,34.27,32,604,108,205400
-118.34,34.26,37,1776,301,314900
-118.35,34.25,34,2795,460,354400
-118.36,34.26,34,3677,573,378000
-118.3,34.26,28,1643,489,200600
-118.3,34.25,44,1442,285,197300
-118.31,34.26,37,1444,246,239400
-118.31,34.26,36,1882,453,217100
-118.32,34.26,24,5106,1010,191500
-118.39,34.28,24,4694,820,166200
-118.38,34.28,22,4428,825,166300
-118.4,34.28,16,6573,1480,154900
-118.38,34.27,8,3248,847,158300
-118.41,34.29,35,1008,204,147600
-118.41,34.29,32,1591,320,145800
-118.42,34.28,29,1271,272,150000
-118.41,34.28,32,2574,531,146700
-118.4,34.28,22,3517,810,164800
-118.42,34.28,35,822,200,133300
-118.42,34.28,34,1999,427,144300
-118.42,34.27,33,1209,341,134300
-118.42,34.27,33,937,216,131300
-118.42,34.27,35,674,153,147800
-118.43,34.28,30,1384,308,142600
-118.43,34.27,31,1130,276,156800
-118.43,34.27,36,1002,250,148000
-118.42,34.27,37,1024,246,147500
-118.43,34.26,30,1246,373,140900
-118.43,34.26,37,1269,348,147200
-118.44,34.27,35,777,187,139600
-118.43,34.26,43,729,172,140900
-118.42,34.25,37,1545,341,148100
-118.43,34.25,35,1447,335,143100
-118.42,34.26,26,1788,521,136400
-118.41,34.26,38,870,205,136100
-118.42,34.26,36,973,221,143300
-118.42,34.26,37,1789,424,138600
-118.41,34.27,38,858,203,137900
-118.42,34.27,35,2700,702,124000
-118.4,34.26,13,4379,872,154300
-118.4,34.25,13,1872,497,134200
-118.41,34.25,19,280,84,137500
-118.41,34.25,33,827,192,143100
-118.41,34.25,36,1146,259,153800
-118.41,34.25,18,3447,857,157100
-118.42,34.24,17,2049,548,163700
-118.42,34.25,36,1430,331,145200
-118.43,34.32,34,2657,515,157400
-118.43,34.33,18,5891,920,235600
-118.44,34.32,14,6235,1286,211600
-118.42,34.31,19,6755,1443,163200
-118.42,34.3,29,3334,712,180300
-118.41,34.32,18,6572,1105,203400
-118.41,34.3,28,3187,569,187400
-118.42,34.32,30,3027,604,156000
-118.44,34.31,14,4151,941,154300
-118.44,34.31,22,3182,822,160100
-118.44,34.3,38,1595,314,155500
-118.45,34.31,9,1739,358,182500
-118.45,34.32,23,3481,641,189400
-118.46,34.32,10,5777,1112,194100
-118.45,34.31,28,1532,287,173100
-118.46,34.3,32,2424,476,158500
-118.46,34.31,24,2920,601,218200
-118.47,34.32,13,2664,518,325200
-118.48,34.33,9,2384,395,270100
-118.48,34.31,31,1091,256,172400
-118.47,34.3,16,2495,551,192200
-118.46,34.29,24,3668,890,183300
-118.47,34.29,18,4256,987,190000
-118.49,34.29,26,4516,611,431800
-118.49,34.28,27,2535,389,319400
-118.49,34.28,31,3508,585,285500
-118.49,34.31,25,1024,145,356300
-118.52,34.32,18,7498,976,374000
-118.51,34.3,24,6145,868,344000
-118.51,34.28,29,4239,653,301700
-118.51,34.29,29,1287,194,319300
-118.52,34.29,28,2272,320,474600
-118.52,34.3,17,4542,621,450700
-118.45,34.3,27,2676,,152100
-118.45,34.3,35,4085,919,160200
-118.54,34.28,18,5481,780,377200
-118.55,34.28,16,8879,,428600
-118.54,34.28,10,7665,999,500001
-118.54,34.3,22,4423,622,376200
-118.57,34.29,4,6995,1151,341200
-118.45,34.28,38,1527,332,152000
-118.46,34.28,23,1663,302,217600
-118.47,34.27,33,1549,264,222900
-118.48,34.28,35,2132,368,227100
-118.48,34.28,35,1511,274,226700
-118.47,34.27,17,1444,282,192400
-118.47,34.27,35,1150,185,220600
-118.48,34.27,34,1231,222,223700
-118.48,34.27,33,2649,449,216800
-118.45,34.27,33,1194,229,185800
-118.45,34.27,35,1579,300,195900
-118.46,34.27,30,1576,282,179700
-118.46,34.27,28,1865,463,172300
-118.44,34.27,36,1111,275,158100
-118.44,34.27,29,1701,419,142400
-118.45,34.26,35,1724,311,195600
-118.45,34.25,36,1453,270,204600
-118.45,34.26,35,1637,300,209600
-118.46,34.26,33,1358,247,210300
-118.46,34.26,36,1394,254,217100
-118.46,34.25,33,2202,433,224200
-118.46,34.25,32,2217,422,208600
-118.47,34.26,34,1300,289,199200
-118.47,34.26,35,1898,344,218400
-118.48,34.26,36,1770,296,238000
-118.49,34.26,27,2722,468,239900
-118.47,34.25,34,1732,399,195700
-118.48,34.25,36,1951,395,195300
-118.48,34.25,35,1442,276,216900
-118.48,34.25,35,1865,335,223300
-118.49,34.25,33,2088,383,232900
-118.49,34.27,34,4877,815,225900
-118.49,34.27,33,3047,527,236200
-118.5,34.27,35,2235,390,221600
-118.51,34.28,34,3580,565,243800
-118.52,34.28,33,1975,271,379600
-118.51,34.27,34,3787,771,222500
-118.51,34.27,36,2276,429,252100
-118.52,34.27,36,3204,538,271200
-118.53,34.27,32,1931,298,329200
-118.53,34.26,18,3674,,308400
-118.54,34.26,22,5303,838,311800
-118.54,34.27,28,2309,300,348200
-118.53,34.27,33,1927,305,320500
-118.54,34.26,23,4960,592,500001
-118.55,34.26,21,4018,536,445400
-118.55,34.27,25,4919,661,352800
-118.5,34.26,33,2831,510,237300
-118.52,34.26,21,8850,2139,254200
-118.51,34.26,29,2472,354,332500
-118.52,34.25,11,7849,1664,290900
-118.49,34.26,25,8389,1872,261300
-118.49,34.25,28,4054,712,258000
-118.57,34.27,20,7384,845,500001
-118.59,34.26,20,8146,1131,357100
-118.61,34.24,17,5406,895,375900
-118.63,34.24,9,4759,924,277200
-118.62,34.26,15,10860,1653,262100
-118.6,34.26,18,6154,1070,271500
-118.61,34.25,16,8295,1506,276600
-118.63,34.22,18,1376,225,277600
-118.64,34.22,25,2762,410,333700
-118.66,34.23,18,897,142,350000
-118.61,34.23,26,3727,572,327300
-118.61,34.22,24,5256,758,333700
-118.6,34.23,19,8866,2355,230300
-118.59,34.23,17,6592,1525,254500
-118.56,34.25,31,1962,243,500001
-118.56,34.24,23,2980,362,500001
-118.57,34.25,34,5098,778,273100
-118.58,34.24,26,3239,647,236900
-118.59,34.25,15,9716,2387,193300
-118.57,34.25,20,4679,609,419900
-118.58,34.25,23,4883,769,280800
-118.56,34.23,36,3215,529,248400
-118.56,34.23,36,2406,432,221800
-118.57,34.23,22,3275,648,221900
-118.58,34.23,29,3907,773,230200
-118.59,34.23,14,4407,1209,168800
-118.58,34.23,35,1917,314,234900
-118.58,34.22,35,1969,339,230400
-118.59,34.22,17,6015,1464,229000
-118.51,34.25,24,4338,558,500001
-118.51,34.24,31,5297,664,483500
-118.51,34.23,36,3324,448,477200
-118.52,34.24,6,3218,949,418500
-118.52,34.23,35,1471,210,472200
-118.53,34.25,20,6331,1537,323100
-118.54,34.24,24,4631,1164,264000
-118.53,34.24,24,2718,719,275300
-118.54,34.23,35,3422,601,232900
-118.53,34.23,27,2131,543,230400
-118.54,34.25,26,2639,378,322200
-118.55,34.24,21,5751,1082,407500
-118.55,34.23,25,4409,1018,245100
-118.51,34.23,27,4580,918,454400
-118.52,34.22,21,4617,1101,318100
-118.53,34.23,32,4039,984,240000
-118.54,34.22,34,2193,513,211600
-118.54,34.23,29,1753,342,241400
-118.45,34.25,34,2094,380,212300
-118.46,34.24,11,5363,1160,170700
-118.47,34.25,21,2692,477,238900
-118.47,34.24,19,2405,661,255400
-118.48,34.24,32,2621,412,267600
-118.49,34.25,30,2871,470,253900
-118.49,34.24,35,2707,446,244200
-118.49,34.24,34,1971,316,262300
-118.5,34.25,32,2333,389,241100
-118.5,34.25,32,2411,380,257300
-118.5,34.24,34,2634,412,315300
-118.5,34.23,26,3082,573,319000
-118.49,34.23,32,4373,683,242300
-118.49,34.22,30,1756,314,238200
-118.47,34.23,22,8350,2717,160000
-118.48,34.23,35,1963,310,258600
-118.48,34.23,30,1762,263,273100
-118.48,34.23,29,3354,707,239900
-118.46,34.23,20,4609,1499,169400
-118.46,34.23,16,6338,1768,154600
-118.43,34.25,38,921,239,151900
-118.42,34.24,36,1181,220,183800
-118.43,34.24,36,1488,313,171400
-118.42,34.24,35,1507,281,177200
-118.41,34.23,35,1026,195,179200
-118.41,34.24,38,490,101,175900
-118.44,34.26,34,1102,212,165100
-118.44,34.26,28,1077,288,153900
-118.43,34.25,32,2433,553,159300
-118.44,34.26,34,325,60,174300
-118.44,34.25,35,1583,324,176000
-118.45,34.25,21,2143,565,162500
-118.45,34.24,11,9053,2193,136500
-118.45,34.23,15,5738,1767,157600
-118.45,34.24,7,3299,794,205900
-118.44,34.25,33,1121,231,173700
-118.43,34.24,35,1416,261,178700
-118.43,34.24,35,1488,293,182500
-118.44,34.24,36,1660,301,184000
-118.44,34.24,35,2344,435,178200
-118.42,34.23,33,2478,457,186700
-118.42,34.22,29,1807,323,233000
-118.43,34.23,35,2049,390,181500
-118.43,34.24,36,1379,265,183800
-118.42,34.23,34,1550,279,189000
-118.43,34.23,35,1225,228,176500
-118.43,34.23,37,1737,369,173700
-118.43,34.24,37,1279,241,172700
-118.44,34.23,36,1730,387,183100
-118.43,34.22,34,1588,360,184600
-118.44,34.22,41,1030,214,183800
-118.44,34.22,39,1529,344,178200
-118.44,34.23,43,2257,429,181800
-118.46,34.22,35,2288,617,170700
-118.46,34.22,39,1500,333,168200
-118.46,34.22,31,2057,601,184400
-118.45,34.22,24,3442,1168,183000
-118.45,34.23,25,4393,1369,183700
-118.45,34.22,8,2609,786,185700
-118.46,34.23,19,9902,2814,145400
-118.44,34.22,36,1191,266,178800
-118.44,34.21,37,1665,335,185100
-118.44,34.21,41,1440,325,168600
-118.44,34.22,41,1582,399,168600
-118.43,34.22,34,2300,429,233700
-118.43,34.21,17,3667,1209,175500
-118.43,34.22,36,1372,295,187300
-118.4,34.22,43,1220,222,186300
-118.4,34.21,30,2453,544,191500
-118.41,34.21,35,2215,459,193200
-118.4,34.21,45,972,181,181300
-118.4,34.22,36,2557,540,183800
-118.4,34.23,37,1404,266,190000
-118.38,34.25,38,983,185,231500
-118.37,34.24,40,1283,246,229200
-118.37,34.23,32,1444,317,164600
-118.37,34.22,17,1787,463,151500
-118.38,34.24,38,125,42,158300
-118.4,34.24,35,2552,545,179500
-118.39,34.23,18,3405,831,181900
-118.39,34.23,43,1193,299,161600
-118.4,34.23,36,1643,349,172700
-118.41,34.21,35,2830,518,210500
-118.41,34.21,35,1789,292,239900
-118.39,34.22,40,712,149,165200
-118.39,34.22,35,1790,334,186800
-118.39,34.21,32,1869,441,178500
-118.39,34.21,14,2807,868,172400
-118.38,34.22,20,1176,344,177700
-118.38,34.21,35,1468,303,170600
-118.38,34.21,33,1981,484,179100
-118.42,34.22,34,3004,589,198600
-118.42,34.21,29,2893,543,237400
-118.42,34.2,34,161,48,187500
-118.42,34.23,34,1531,278,207300
-118.37,34.21,36,1392,326,176400
-118.37,34.21,36,2080,455,176600
-118.37,34.21,34,2272,558,175700
-118.37,34.22,11,2127,581,174100
-118.38,34.22,32,362,100,150000
-118.36,34.23,15,2485,742,183200
-118.36,34.22,37,1512,348,160300
-118.35,34.22,41,1560,374,154300
-118.36,34.21,41,337,65,152900
-118.38,34.21,42,715,145,169500
-118.38,34.2,23,4138,1171,181700
-118.39,34.2,17,2594,1028,177200
-118.37,34.21,33,2034,470,159600
-118.37,34.2,34,2199,609,171800
-118.38,34.21,38,1363,395,171200
-118.37,34.2,33,1438,309,170400
-118.36,34.19,11,2921,685,176400
-118.36,34.18,34,1471,423,188700
-118.36,34.18,36,2233,605,194900
-118.37,34.18,33,1829,512,198900
-118.37,34.19,19,2890,821,185100
-118.39,34.19,41,2000,485,192000
-118.39,34.19,23,1875,710,162500
-118.39,34.2,19,2012,732,181300
-118.37,34.19,41,2924,867,171600
-118.38,34.19,37,1434,394,176300
-118.38,34.2,32,993,285,187500
-118.4,34.2,13,4859,1293,211900
-118.4,34.19,37,934,231,181300
-118.4,34.2,30,2392,655,226400
-118.4,34.19,35,2180,599,191300
-118.41,34.19,39,1169,242,200000
-118.41,34.2,32,2734,654,217200
-118.42,34.2,24,3148,908,221500
-118.41,34.19,42,779,145,193800
-118.42,34.19,34,2622,572,222500
-118.42,34.2,27,3201,970,231700
-118.43,34.2,28,3386,,290100
-118.42,34.19,33,3353,790,269700
-118.42,34.19,33,3285,830,230800
-118.42,34.18,27,3760,880,225600
-118.42,34.18,31,2887,646,335500
-118.42,34.18,30,1323,353,202200
-118.43,34.18,33,2717,662,267500
-118.43,34.18,31,2417,510,282200
-118.42,34.18,40,1013,150,382400
-118.41,34.19,45,1106,225,190700
-118.41,34.18,43,1840,356,237900
-118.41,34.18,30,2008,513,262200
-118.41,34.19,37,1993,425,224600
-118.4,34.19,30,521,126,216700
-118.4,34.19,35,1631,356,261800
-118.4,34.18,32,3724,899,312700
-118.4,34.17,27,3588,911,286000
-118.39,34.19,25,3794,989,204200
-118.39,34.18,42,1957,389,240200
-118.39,34.17,26,3345,818,241500
-118.39,34.18,44,477,91,223800
-118.39,34.19,36,904,191,192900
-118.4,34.16,45,1176,250,364700
-118.4,34.16,35,1354,284,384700
-118.4,34.16,34,2638,580,364700
-118.41,34.16,32,3060,505,465800
-118.41,34.17,35,2027,428,330900
-118.38,34.19,42,1308,289,181500
-118.38,34.18,40,2079,568,190800
-118.38,34.18,27,4834,1527,165300
-118.38,34.18,24,1983,651,200000
-118.38,34.17,33,1588,454,238500
-118.39,34.17,40,1696,372,222400
-118.37,34.18,36,1608,373,190200
-118.37,34.18,42,1140,300,178400
-118.38,34.18,44,901,179,186400
-118.38,34.19,30,977,264,177400
-118.37,34.18,35,2949,794,177300
-118.38,34.18,32,3553,1060,174200
-118.36,34.18,31,1109,354,200000
-118.36,34.17,31,1939,505,199500
-118.37,34.17,42,1713,416,191800
-118.41,34.18,35,2785,663,276100
-118.41,34.17,27,3277,648,366100
-118.41,34.18,35,1975,384,291700
-118.43,34.17,32,3202,696,292900
-118.43,34.17,35,2922,507,341800
-118.43,34.17,37,1982,331,336900
-118.43,34.16,34,2459,489,353600
-118.43,34.16,41,2050,478,343400
-118.43,34.16,40,1134,184,333900
-118.42,34.15,27,2795,602,365000
-118.42,34.17,31,2235,363,359700
-118.42,34.16,28,4664,1040,367900
-118.41,34.16,14,577,150,275000
-118.42,34.16,25,2769,566,386100
-118.4,34.17,24,4443,1283,269200
-118.4,34.17,24,6347,,221500
-118.39,34.17,28,2790,748,283600
-118.39,34.17,26,6429,1611,265200
-118.39,34.16,46,1582,279,414300
-118.39,34.16,37,1388,286,444700
-118.38,34.17,30,2016,622,192300
-118.38,34.16,46,2609,593,309400
-118.38,34.16,31,2197,501,319400
-118.36,34.17,44,2295,560,194100
-118.37,34.17,15,3327,1011,185400
-118.37,34.17,42,600,171,184400
-118.37,34.17,10,1431,473,221400
-118.37,34.17,6,854,350,325000
-118.37,34.16,6,6526,2007,250000
-118.37,34.16,10,2606,748,225000
-118.37,34.16,25,2450,618,262500
-118.37,34.16,40,1973,382,282300
-118.36,34.16,43,2850,709,274300
-118.36,34.16,32,2455,556,325000
-118.37,34.16,17,4150,1148,232400
-118.37,34.16,11,2901,871,209400
-118.36,34.16,45,1755,335,322900
-118.36,34.16,42,2304,442,417900
-118.35,34.15,35,2245,393,500001
-118.43,34.2,20,4090,1271,140500
-118.43,34.21,26,2867,671,226500
-118.44,34.2,28,1732,435,241300
-118.44,34.21,20,5756,1477,221200
-118.45,34.21,30,2331,733,195600
-118.45,34.2,19,3666,1150,202100
-118.46,34.2,13,2926,816,202700
-118.46,34.21,7,2081,657,186900
-118.47,34.21,34,2512,603,220000
-118.47,34.2,20,3939,1143,229100
-118.48,34.21,25,2879,723,197400
-118.48,34.2,26,2027,559,189900
-118.48,34.22,22,3430,1214,93800
-118.49,34.21,25,1131,449,225000
-118.49,34.19,23,2087,571,202000
-118.49,34.2,35,1109,206,215800
-118.5,34.2,34,1617,344,217700
-118.48,34.2,12,3831,1083,255400
-118.48,34.2,23,2850,864,191700
-118.48,34.19,20,5699,1594,221100
-118.48,34.19,36,2058,423,210400
-118.47,34.2,25,4590,1477,281700
-118.47,34.19,33,3879,943,292900
-118.45,34.2,27,1572,450,190500
-118.45,34.2,18,2729,800,230800
-118.46,34.2,22,4855,1350,205600
-118.45,34.19,37,1073,254,192200
-118.46,34.19,20,5992,1820,233500
-118.46,34.19,35,1491,295,256300
-118.43,34.2,29,3051,694,238100
-118.44,34.2,36,2698,623,234900
-118.44,34.2,35,1717,478,225600
-118.44,34.2,17,2934,950,232500
-118.43,34.19,27,3440,739,245500
-118.44,34.19,37,1516,344,243600
-118.44,34.19,19,3487,959,215500
-118.44,34.19,29,1599,459,199100
-118.43,34.18,22,2052,568,271100
-118.44,34.18,36,2077,496,221000
-118.44,34.19,11,2891,951,178100
-118.44,34.18,17,1546,592,154200
-118.45,34.19,11,2479,900,181300
-118.45,34.18,22,2516,826,158300
-118.46,34.18,27,2582,719,174200
-118.47,34.19,41,1104,196,225000
-118.45,34.18,39,1810,388,228800
-118.45,34.18,34,1843,442,246400
-118.46,34.18,33,1791,386,251400
-118.46,34.18,35,1819,465,253200
-118.44,34.18,35,972,270,215000
-118.44,34.17,25,4966,1134,286700
-118.45,34.18,33,2077,486,225000
-118.43,34.18,25,3830,1105,210000
-118.44,34.18,33,2127,414,286100
-118.43,34.17,33,1679,404,266000
-118.43,34.17,34,2180,424,353100
-118.43,34.17,42,777,102,500001
-118.44,34.17,29,2685,642,279400
-118.43,34.16,34,2622,467,379700
-118.44,34.16,35,3080,642,328500
-118.44,34.16,33,1616,322,337500
-118.45,34.16,22,4982,1358,272600
-118.45,34.17,21,2152,527,277300
-118.45,34.17,33,3100,687,261300
-118.46,34.17,24,2814,675,309300
-118.46,34.17,22,6707,1737,273700
-118.45,34.16,33,2544,500,314800
-118.46,34.16,28,2795,622,280400
-118.46,34.16,26,2548,647,299100
-118.54,34.21,22,6064,1826,227100
-118.54,34.21,32,2593,566,199200
-118.54,34.22,35,1664,300,224100
-118.54,34.2,37,1600,349,201600
-118.54,34.19,33,2205,453,203700
-118.51,34.22,36,2794,523,222100
-118.5,34.21,36,1254,229,236100
-118.5,34.21,36,1656,310,215900
-118.51,34.22,36,1952,387,209200
-118.51,34.21,36,2396,421,223600
-118.51,34.22,36,1493,285,213200
-118.52,34.22,35,1275,222,195400
-118.52,34.22,35,1620,272,203300
-118.52,34.21,36,2394,424,206700
-118.52,34.21,34,1663,299,211000
-118.53,34.22,29,4101,849,199800
-118.53,34.21,18,3124,796,213200
-118.55,34.21,35,2592,490,246400
-118.56,34.22,35,1843,329,205100
-118.56,34.21,36,1286,242,196800
-118.56,34.22,34,1599,294,197000
-118.55,34.21,33,3910,838,208700
-118.56,34.21,13,8327,1849,189800
-118.52,34.2,35,2891,594,199800
-118.53,34.2,33,3270,818,205300
-118.5,34.21,35,1668,332,200300
-118.51,34.2,35,1614,308,209000
-118.51,34.2,37,2066,434,188400
-118.52,34.21,36,1328,287,193700
-118.5,34.2,42,1558,322,203800
-118.51,34.2,33,2327,479,262500
-118.51,34.2,34,2871,581,227500
-118.51,34.19,35,2537,418,229200
-118.51,34.19,38,2182,409,221100
-118.5,34.2,18,4249,933,229100
-118.5,34.19,35,2720,490,228300
-118.5,34.19,26,2156,509,224700
-118.52,34.2,19,4315,1304,195000
-118.52,34.2,37,1795,346,207200
-118.53,34.2,26,2221,662,191100
-118.55,34.2,21,2549,651,179800
-118.55,34.19,18,5862,,170600
-118.55,34.2,31,1963,420,211800
-118.52,34.19,42,881,170,203900
-118.52,34.19,37,1560,275,206900
-118.52,34.19,37,1892,347,212100
-118.53,34.19,32,2618,692,192300
-118.52,34.18,34,2307,388,245400
-118.53,34.18,26,4175,885,240300
-118.56,34.2,36,1544,308,190900
-118.56,34.2,35,2273,,196700
-118.56,34.19,35,782,144,201400
-118.56,34.19,34,1237,242,183600
-118.56,34.19,34,2579,561,235100
-118.56,34.18,36,1366,224,251000
-118.54,34.19,22,3380,790,239200
-118.54,34.18,25,1938,457,240300
-118.55,34.19,36,978,170,222500
-118.55,34.19,31,1856,370,223800
-118.58,34.21,24,2642,696,217700
-118.59,34.21,26,2335,669,178800
-118.59,34.2,18,847,185,201900
-118.58,34.2,37,1389,252,220900
-118.57,34.22,27,2795,606,258400
-118.57,34.21,23,4891,793,270500
-118.57,34.22,17,3262,753,255200
-118.58,34.21,13,6227,1317,299300
-118.58,34.22,35,2560,441,228200
-118.58,34.21,27,2209,353,250900
-118.59,34.21,34,1943,320,227700
-118.59,34.21,34,2389,521,225400
-118.6,34.21,21,9512,2560,227500
-118.61,34.21,34,3494,557,251500
-118.62,34.22,33,1636,275,241300
-118.62,34.21,26,3234,517,258600
-118.62,34.22,34,2633,471,232900
-118.61,34.21,41,1058,228,180500
-118.61,34.2,16,1718,467,160900
-118.61,34.21,33,2609,431,227100
-118.62,34.2,23,3098,542,235800
-118.63,34.21,31,3952,647,244800
-118.64,34.22,16,4312,574,390000
-118.65,34.21,5,5429,665,500001
-118.65,34.2,23,7480,1084,338400
-118.62,34.2,32,3233,553,234900
-118.63,34.2,19,7411,1045,336100
-118.59,34.21,17,2737,868,183500
-118.59,34.2,21,1789,,179800
-118.6,34.2,10,2869,941,150000
-118.6,34.21,19,2581,857,182300
-118.56,34.2,35,1770,362,221000
-118.57,34.21,36,878,167,190400
-118.57,34.2,18,7157,1869,208000
-118.58,34.2,21,2979,744,223700
-118.56,34.19,36,2600,441,215600
-118.57,34.2,36,2559,469,201500
-118.57,34.2,33,1759,311,209200
-118.58,34.2,35,1558,267,220200
-118.58,34.2,35,1323,228,221300
-118.56,34.19,34,2185,372,266700
-118.58,34.19,35,2329,399,224900
-118.58,34.19,27,4286,1071,222800
-118.58,34.19,15,3061,1079,187500
-118.58,34.18,28,908,142,340500
-118.62,34.2,29,2421,402,244800
-118.62,34.18,25,3124,468,333100
-118.62,34.19,35,1934,307,267400
-118.61,34.2,29,1673,284,245800
-118.61,34.19,28,3824,749,246400
-118.61,34.19,34,703,127,210100
-118.6,34.19,16,14912,4183,213900
-118.63,34.19,32,3568,591,259600
-118.63,34.18,32,1646,242,433000
-118.64,34.19,30,2399,373,245600
-118.64,34.19,33,3017,494,248400
-118.64,34.18,33,3808,623,263400
-118.64,34.19,28,3274,571,247300
-118.65,34.18,27,1793,339,240300
-118.65,34.19,27,2772,511,243000
-118.66,34.19,23,7544,1031,374900
-118.63,34.17,33,4769,787,338200
-118.64,34.17,26,6767,903,409000
-118.57,34.18,36,2981,441,439800
-118.57,34.17,35,2072,318,327300
-118.58,34.17,29,3393,574,334900
-118.59,34.18,7,11853,2691,271300
-118.61,34.17,19,5944,1345,328900
-118.62,34.17,32,1491,355,262800
-118.62,34.17,34,3268,538,308300
-118.63,34.18,33,5252,760,389700
-118.65,34.18,26,4607,656,367600
-118.66,34.18,25,6612,857,419000
-118.61,34.17,31,1689,362,278500
-118.61,34.15,32,4491,815,319100
-118.61,34.16,29,4364,647,367400
-118.63,34.16,33,2896,455,347700
-118.63,34.16,30,3346,487,392700
-118.62,34.15,26,5661,791,409900
-118.57,34.17,31,1950,383,500001
-118.58,34.17,18,6476,1082,500001
-118.59,34.17,36,1887,359,296000
-118.6,34.16,37,3441,584,313100
-118.6,34.16,32,3999,667,338500
-118.57,34.15,22,5791,706,500001
-118.58,34.15,21,3856,547,450700
-118.59,34.15,29,2023,330,369700
-118.6,34.15,28,4570,744,361900
-118.59,34.14,19,1303,155,483100
-118.49,34.18,31,3073,674,311700
-118.51,34.18,37,1893,365,295300
-118.51,34.17,31,3252,834,219000
-118.52,34.18,43,1700,380,213100
-118.52,34.18,46,2082,438,216000
-118.52,34.18,42,1611,410,221800
-118.53,34.17,18,6430,1412,243800
-118.54,34.17,11,1080,174,315900
-118.55,34.18,32,3011,529,311000
-118.56,34.18,39,1819,291,457300
-118.54,34.18,17,7214,1994,174500
-118.53,34.18,16,7194,1976,189300
